Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-04-20,2020,4,20,Monday,16,2020-16,6.82,7.13,6.66,6.91,178200,6.91,0.0043604262314216324,6.0407142857142855,6.8806
2020-04-21,2020,4,21,Tuesday,16,2020-16,6.81,6.95,6.6,6.87,328700,6.87,-0.005788706618858774,6.101428571428571,6.849200000000001
2020-04-22,2020,4,22,Wednesday,16,2020-16,6.9,7.34,6.75,7.26,300300,7.26,0.05676860987182031,6.220714285714285,6.822
2020-04-23,2020,4,23,Thursday,16,2020-16,7.2,8.0,7.2,7.84,300500,7.84,0.07988979413508712,6.374285714285714,6.8092
2020-04-24,2020,4,24,Friday,16,2020-16,7.84,8.35,7.65,8.2,456500,8.2,0.04591832266207474,6.5807142857142855,6.805999999999999
2020-04-27,2020,4,27,Monday,17,2020-17,8.45,8.96,8.23,8.74,411800,8.74,0.06585365541629451,6.797857142857143,6.815799999999999
2020-04-28,2020,4,28,Tuesday,17,2020-17,9.0,9.11,8.03,8.34,549200,8.34,-0.04576654794112189,7.000714285714286,6.8082
2020-04-29,2020,4,29,Wednesday,17,2020-17,8.5,9.08,8.5,8.8,479600,8.8,0.05515587886461071,7.220714285714286,6.8026
2020-04-30,2020,4,30,Thursday,17,2020-17,8.98,9.27,8.56,8.97,418000,8.97,0.01931819006923785,7.4435714285714285,6.7974
2020-05-01,2020,5,1,Friday,17,2020-17,8.75,9.42,8.62,9.39,474100,9.39,0.0468227495865019,7.6935714285714285,6.8052
2020-05-04,2020,5,4,Monday,18,2020-18,9.79,10.07,8.97,9.75,430300,9.75,0.038338620182611916,7.926428571428572,6.8216
2020-05-05,2020,5,5,Tuesday,18,2020-18,9.99,10.6,9.43,9.53,434700,9.53,-0.022564129951672673,8.139999999999999,6.8324
2020-05-06,2020,5,6,Wednesday,18,2020-18,9.62,10.41,9.62,9.79,337100,9.79,0.027282291308184048,8.376428571428573,6.8704
2020-05-07,2020,5,7,Thursday,18,2020-18,10.07,10.82,9.93,10.57,444100,10.57,0.07967310888768941,8.639999999999999,6.934799999999999
2020-05-08,2020,5,8,Friday,18,2020-18,10.84,12.2,10.84,11.49,925200,11.49,0.08703879875648801,8.967142857142857,7.021
2020-05-11,2020,5,11,Monday,19,2020-19,11.51,12.66,11.42,12.55,810900,12.55,0.09225417238746769,9.372857142857143,7.1264
2020-05-12,2020,5,12,Tuesday,19,2020-19,12.76,13.45,12.35,12.8,945500,12.8,0.019920318422350647,9.768571428571429,7.2314
2020-05-13,2020,5,13,Wednesday,19,2020-19,12.75,13.66,12.18,12.31,1294200,12.31,-0.03828123154817176,10.087857142857143,7.323
2020-05-14,2020,5,14,Thursday,19,2020-19,12.68,13.05,12.04,12.57,760000,12.57,0.021527163331866772,10.400000000000002,7.401599999999999
2020-05-15,2020,5,15,Friday,19,2020-19,12.55,12.83,12.23,12.7,625700,12.7,0.009940358003655891,10.682857142857143,7.485399999999999
2020-05-18,2020,5,18,Monday,20,2020-20,13.08,13.89,12.43,12.68,1451200,12.68,-0.0015747641251746547,10.992857142857144,7.570399999999999
2020-05-19,2020,5,19,Tuesday,20,2020-20,12.9,13.0,12.2,12.31,870100,12.31,-0.02917980099795847,11.243571428571428,7.6726
2020-05-20,2020,5,20,Wednesday,20,2020-20,12.68,13.71,12.29,13.68,1122800,13.68,0.11129161972861579,11.58,7.801
2020-05-21,2020,5,21,Thursday,20,2020-20,13.78,14.82,13.33,14.57,1181100,14.57,0.06505843346448681,11.950000000000001,7.965199999999999
2020-05-22,2020,5,22,Friday,20,2020-20,14.57,14.87,14.27,14.28,935800,14.28,-0.019903909946960785,12.27357142857143,8.141399999999999
2020-05-26,2020,5,26,Tuesday,21,2020-21,14.56,15.22,14.45,14.7,574000,14.7,0.0294117705985808,12.642857142857142,8.3092
