Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-11-19,2019,11,19,Tuesday,46,2019-46,312.68,312.69,311.22,311.93,67804700.0,303.72,-0.00028829374701910826,300.4378571428571,292.60220000000004
2019-11-20,2019,11,20,Wednesday,46,2019-46,311.28,311.85,309.06,310.77,79406200.0,302.59,-0.003718755570346177,300.955,292.834
2019-11-21,2019,11,21,Thursday,46,2019-46,310.89,311.01,309.39,310.27,54664700.0,302.1,-0.001609037558732762,301.2421428571428,293.0358
2019-11-22,2019,11,22,Friday,46,2019-46,311.09,311.24,309.85,310.96,44850200.0,302.77,0.002223997882676354,301.49142857142857,293.2548
2019-11-25,2019,11,25,Monday,47,2019-47,311.98,313.37,311.98,313.37,48647200.0,305.12,0.007750189339992053,301.9321428571429,293.53880000000004
2019-11-26,2019,11,26,Tuesday,47,2019-47,313.41,314.28,313.06,314.08,37569000.0,305.81,0.002265608262608909,302.4171428571429,293.82199999999995
2019-11-27,2019,11,27,Wednesday,47,2019-47,314.61,315.48,314.37,315.48,44444600.0,307.18,0.004457605891715843,302.925,294.12899999999996
2019-11-29,2019,11,29,Friday,47,2019-47,314.86,315.13,314.06,314.31,36592700.0,306.04,-0.0037088003112407675,303.29857142857145,294.41360000000003
2019-12-02,2019,12,2,Monday,48,2019-48,314.59,314.66,311.17,311.64,75767800.0,303.44,-0.008494754984649244,303.52785714285716,294.67379999999997
2019-12-03,2019,12,3,Tuesday,48,2019-48,308.65,309.64,307.13,309.55,73941700.0,301.4,-0.006706526530571577,303.5657142857143,294.8946
2019-12-04,2019,12,4,Wednesday,48,2019-48,310.7,312.12,310.32,311.46,49080000.0,303.26,0.006170214446314937,303.72999999999996,295.1982
2019-12-05,2019,12,5,Thursday,48,2019-48,312.23,312.25,310.58,312.02,40709000.0,303.81,0.0017979810726440615,303.90214285714285,295.47860000000003
2019-12-06,2019,12,6,Friday,48,2019-48,314.12,315.31,314.11,314.87,48927000.0,306.58,0.009134090142925322,304.11642857142857,295.8266
2019-12-09,2019,12,9,Monday,49,2019-49,314.44,315.18,313.8,313.88,34838500.0,305.62,-0.003144119756461561,304.24571428571426,296.1866
2019-12-10,2019,12,10,Tuesday,49,2019-49,313.82,314.55,312.81,313.53,52649800.0,305.28,-0.0011150865812256106,304.35714285714283,296.513
2019-12-11,2019,12,11,Wednesday,49,2019-49,314.03,314.7,313.44,314.42,53429100.0,306.14,0.002838662673585235,304.6107142857143,296.92539999999997
2019-12-12,2019,12,12,Thursday,49,2019-49,314.43,317.99,314.17,317.13,96389600.0,308.78,0.008619079242616845,305.0878571428571,297.4914
2019-12-13,2019,12,13,Friday,49,2019-49,316.87,318.67,316.02,317.32,81503900.0,308.97,0.0005991206703352958,305.5307142857143,298.0154
2019-12-16,2019,12,16,Monday,50,2019-50,319.22,320.15,317.25,319.5,82749700.0,311.09,0.006869958625964845,305.95714285714286,298.5052
2019-12-17,2019,12,17,Tuesday,50,2019-50,319.92,320.25,319.48,319.57,61097700.0,311.16,0.00021915331284949602,306.3392857142857,299.02119999999996
2019-12-18,2019,12,18,Wednesday,50,2019-50,320.0,320.25,319.53,319.59,48133000.0,311.18,6.257349075045049e-05,306.625,299.6262
2019-12-19,2019,12,19,Thursday,50,2019-50,319.8,320.98,319.52,320.9,85310500.0,312.45,0.004098993698812281,307.0828571428571,300.2032
2019-12-20,2019,12,20,Friday,50,2019-50,320.46,321.97,319.39,320.73,147142100.0,313.82,0.004384259523785072,307.82428571428574,300.7692
2019-12-23,2019,12,23,Monday,51,2019-51,321.59,321.65,321.06,321.22,52990000.0,314.3,0.0015277147983052686,308.7457142857143,301.2856
2019-12-24,2019,12,24,Tuesday,51,2019-51,321.47,321.52,320.9,321.23,20270000.0,314.31,3.116794443913662e-05,309.53499999999997,301.8086
2019-12-26,2019,12,26,Thursday,51,2019-51,321.65,322.95,321.64,322.94,30911200.0,315.98,0.005323241318590188,310.4042857142857,302.308
2019-12-27,2019,12,27,Friday,51,2019-51,323.74,323.8,322.28,322.86,42528800.0,315.91,-0.0002478223791527734,311.07071428571425,302.8154
2019-12-30,2019,12,30,Monday,52,2019-52,322.95,323.1,320.55,321.08,49729100.0,314.16,-0.005513144604170295,311.6807142857143,303.2706
2019-12-31,2019,12,31,Tuesday,52,2019-52,320.53,322.13,320.15,321.86,57077300.0,314.93,0.0024292455991778983,312.37,303.7666
2020-01-02,2020,1,2,Thursday,00,2020-00,323.54,324.89,322.53,324.87,59151200.0,317.87,0.009351850398301886,313.2078571428571,304.2822
2020-01-03,2020,1,3,Friday,00,2020-00,321.16,323.64,321.1,322.41,77709700.0,315.47,-0.0075721464594752375,313.6857142857143,304.7688
2020-01-06,2020,1,6,Monday,01,2020-01,320.49,323.73,320.36,323.64,55653900.0,316.67,0.003815057408695921,314.2357142857143,305.2624
2020-01-07,2020,1,7,Tuesday,01,2020-01,323.02,323.54,322.24,322.73,40496400.0,315.78,-0.0028117981225896926,314.57071428571425,305.7288
2020-01-08,2020,1,8,Wednesday,01,2020-01,322.94,325.78,322.67,324.45,68296000.0,317.46,0.00532961866862558,315.0207142857143,306.2048
2020-01-09,2020,1,9,Thursday,01,2020-01,326.16,326.73,325.52,326.65,48473300.0,319.61,0.006780513150311807,315.6228571428572,306.6906
2020-01-10,2020,1,10,Friday,01,2020-01,327.29,327.46,325.2,325.71,53029300.0,318.7,-0.0028776470093974105,316.06928571428574,307.16
2020-01-13,2020,1,13,Monday,02,2020-02,326.39,327.96,325.92,327.95,47086800.0,320.89,0.006877237024372818,316.57428571428574,307.6552
2020-01-14,2020,1,14,Tuesday,02,2020-02,327.47,328.62,326.84,327.45,62832800.0,320.4,-0.0015245147777598334,317.01000000000005,308.1562
2020-01-15,2020,1,15,Wednesday,02,2020-02,327.35,329.02,327.26,328.19,72056600.0,321.12,0.0022597840075109232,317.49642857142857,308.617
2020-01-16,2020,1,16,Thursday,02,2020-02,329.7,330.92,329.45,330.92,54050300.0,323.79,0.0083184477932845,318.05428571428575,309.10720000000003
2020-01-17,2020,1,17,Friday,02,2020-02,331.7,332.18,330.85,331.95,95846000.0,324.8,0.0031126158065086784,318.68928571428575,309.6242
2020-01-21,2020,1,21,Tuesday,03,2020-03,330.9,332.18,330.82,331.3,77742400.0,324.16,-0.0019581752336167435,319.4035714285714,310.127
2020-01-22,2020,1,22,Wednesday,03,2020-03,332.24,332.95,331.17,331.34,48914900.0,324.2,0.00012059613465376096,320.0657142857143,310.6096
2020-01-23,2020,1,23,Thursday,03,2020-03,330.63,332.17,329.41,331.72,51963000.0,324.58,0.0011469841611699838,320.545,311.085
2020-01-24,2020,1,24,Friday,03,2020-03,332.44,332.53,327.36,328.77,87578400.0,321.69,-0.008893164218574445,320.98928571428576,311.5142
2020-01-27,2020,1,27,Monday,04,2020-04,323.03,325.12,322.66,323.5,84062500.0,316.53,-0.01602933352762026,320.9792857142857,311.82739999999995
2020-01-28,2020,1,28,Tuesday,04,2020-04,325.06,327.85,323.6,326.89,63834000.0,319.85,0.010479124616942892,321.27000000000004,312.2052
2020-01-29,2020,1,29,Wednesday,04,2020-04,328.38,328.63,326.4,326.62,53888900.0,319.59,-0.0008260791410150681,321.42214285714283,312.569
2020-01-30,2020,1,30,Thursday,04,2020-04,324.36,327.91,323.54,327.68,75491800.0,320.62,0.003245456675774694,321.49428571428564,312.9098
2020-01-31,2020,1,31,Friday,04,2020-04,327.0,327.17,320.73,321.73,113845600.0,314.8,-0.01815791014133128,321.2157142857142,313.1296
2020-02-03,2020,2,3,Monday,05,2020-05,323.35,326.16,323.22,324.12,69242300.0,317.14,0.007428605496929697,320.9478571428572,313.39799999999997
2020-02-04,2020,2,4,Tuesday,05,2020-05,328.07,330.01,327.72,329.06,62573200.0,321.97,0.01524111183730903,321.06,313.7856
2020-02-05,2020,2,5,Wednesday,05,2020-05,332.27,333.09,330.67,332.86,65951100.0,325.69,0.011548082017665662,321.38642857142855,314.25739999999996
